,Richness,Shannon,Simpson,,
CD_082_V3,254,62.99307325,35.62028,,
CD_083_V1,121,29.33769136,12.90882184,,
CD_084_V1,232,42.43075027,9.958912737,,
CD_084_V3,214,59.96823186,29.77549724,,
CD_085_V1,219,81.25119442,45.45017817,,
CD_085_V3,213,68.39807207,34.32707505,,
CD_087_V1,259,70.80625734,37.31813119,,
CD_087_V3,253,71.79334473,36.9038476,,
CD_088_V1,90,13.00526979,6.698834809,,
CD_089_V1,215,84.99141157,54.8742282,,
CD_089_V3,264,74.41992879,38.4481903,,
CD_090_V1,127,54.65830039,37.15537378,,
CD_090_V3,175,64.74307688,44.31340876,,
CD_092_V1,190,54.91051337,32.50808595,,
CD_092_V3,216,44.14601397,23.05336068,,
CD_093_V1,148,36.9820138,14.59758934,,
CD_093_V3,105,18.77291261,7.160100299,,
CD_094_V1,165,38.52572622,18.8704906,,
CD_094_V3,334,112.3077843,59.75576363,,
CD_095_V1,265,79.50050483,46.1468808,,
CD_095_V3,192,63.80232063,38.3921274,,
CD_096_V1,151,32.58062295,15.57228627,,
CD_097_V1,137,35.98747727,21.26518491,,
CD_097_V3,153,42.84317044,23.16663941,,
CD_098_V1,357,107.0863994,47.2327975,,
CD_098_V3,271,45.49582391,11.27344669,,
CD_100_V1,147,28.36623722,12.41943577,,
CD_100_V3,124,19.00944171,8.009623912,,
CD_101_V1,98,19.7522815,9.454856114,,
CD_101_V3,66,12.35901463,6.127779329,,
CD_102_V1,341,91.81917388,42.82951375,,
CD_102_V3,282,34.74587216,12.18010468,,
CD_103_V1,202,61.26599136,35.57433841,,
CD_103_V3,165,41.2098658,22.71526948,,
CD_104_V1,136,33.28760038,14.6401211,,
CD_104_V3,84,33.92350693,18.72270798,,
CD_106_V1,125,18.05604898,7.497357383,,
CD_106_V3,113,7.14604391,2.865156405,,
CD_107_V1,299,86.59773348,49.80501793,,
CD_107_V3,264,69.12928894,36.8931279,,
CD_108_V1,214,68.91095738,41.65996138,,
CD_109_V1,221,54.06378441,27.53122417,,
CD_109_V3,219,68.64570821,41.36612274,,
CD_111_V1,156,42.2470909,19.46742074,,
CD_111_V3,152,32.85521691,11.83795516,,
CD_112_V1,23,5.335955024,3.89586184,,
CD_112_V3,47,7.367042602,4.785963518,,
CD_113_V1,142,46.86941,26.34266721,,
CD_113_V3,137,41.11661829,22.30610506,,
CD_114_V1,236,61.13028528,32.37703616,,
CD_114_V3,171,54.00777299,30.61599739,,
CD_116_V1,120,36.16852499,25.71288162,,
CD_116_V3,102,40.48337816,25.07920527,,
CD_117_V1,194,45.43495387,23.91654135,,
CD_117_V3,242,56.17316866,27.49009726,,
CD_118_V1,246,87.37861303,44.70017446,,
CD_118_V3,255,88.81989918,52.97269957,,
CD_119_V1,92,21.91113242,12.25320843,,
CD_120_V1,215,51.41645192,21.88835915,,
CD_120_V3,279,89.2563348,52.10529236,,
CD_121_V1,126,14.93292571,5.794875727,,
CD_121_V3,140,22.16297825,8.617518971,,
CD_122_V1,337,66.51442427,26.37050377,,
CD_122_V3,215,56.88480252,29.90743826,,
CD_123_V3,267,77.72950551,39.55536952,,
CD_123_V1,241,78.7505224,39.39115982,,
CD_125_V3,127,14.10066575,6.915950722,,
CD_125_V1,152,19.77829179,6.400432244,,
CD_127_V1,215,58.73486439,30.85985456,,
CD_127_V3,270,80.81143138,48.61444013,,
CD_130_V1,177,58.06389624,33.22204395,,
CD_131_V1,79,30.13587834,18.68972298,,
CD_131_V3,124,31.84170147,14.73711643,,
CD_132_V1,252,79.79456775,42.49809193,,
CD_132_V3,250,95.0236439,60.42992362,,
CD_133_V1,251,79.06730498,38.92082032,,
CD_133_V3,303,74.26193995,34.82969235,,
CD_135_V1,160,38.08225096,18.35084169,,
CD_135_V3,189,55.88492209,30.71880199,,
CD_139_V1,210,61.49255008,31.93729924,,
CD_139_V3,166,32.87200999,10.89897915,,
CD_143_V1,295,86.24794615,49.55742398,,
CD_143_V3,333,79.16277389,36.80924018,,
CD_147_V1,152,31.25535704,11.76520779,,
CD_147_V3,154,31.2374958,11.56158926,,
CD_150_V1,118,32.79198834,13.7526102,,
CD_150_V3,105,24.00045742,9.140759943,,
CD_161_V1,134,30.35423967,12.60627686,,
CD_161_V3,114,26.49977486,12.29247371,,
CD_164_V1,309,53.84074429,17.23944121,,
CD_164_V3,281,77.57321303,41.04256795,,
CD_165_V1,226,51.75097071,22.1591482,,
CD_165_V3,216,60.81901928,30.21400712,,
CD_169_V1,104,16.19903329,7.494995936,,
CD_169_V3,133,33.9070494,15.67471337,,
CD_172_V1,257,40.48833508,9.593300578,,
CD_172_V3,247,81.11918236,43.32963026,,
CD_176_V1,294,89.11153853,49.46701341,,
CD_176_V3,299,87.94432766,51.5349829,,
CD_181_V1,135,29.38435247,10.89277035,,
CD_181_V3,132,29.06512303,10.44324354,,
CD_182_V1,124,35.15031128,12.12407658,,
CD_182_V3,121,19.39931696,6.323811652,,
CD_186_V1,108,35.9239766,18.89408986,,
CD_186_V3,143,38.39071358,14.76558006,,
CD_190_V1,144,23.53372754,10.20797659,,
CD_190_V3,113,18.95281686,9.333404739,,
CD_198_V1,258,71.26070162,42.44448723,,
CD_198_V3,284,83.45981342,45.34465587,,
CD_200_V1,116,35.7619761,18.60590687,,
CD_200_V3,105,24.81862617,11.83633218,,
CD_202_V1,146,42.28440889,16.20802959,,
CD_202_V3,124,39.80557775,17.42819729,,
CD_204_V1,135,30.7534505,11.56425753,,
CD_204_V3,141,31.16271997,12.21830883,,
CD_205_V1,109,18.81231524,7.637498219,,
CD_205_V3,101,13.43011436,5.195958098,,
CD_206_V1,217,50.24285317,20.84587461,,
CD_206_V3,273,69.06408416,37.52655436,,
CD_207_V1,114,29.82979923,11.80873834,,
CD_207_V3,104,23.81043476,8.083051804,,
CD_209_V1,131,25.71317186,10.58781507,,
CD_209_V3,100,35.75211091,20.75137572,,
CD_215_V1,1,1,1,,
CD_215_V3,278,66.34127573,31.59217451,,
CD_229_V1,117,18.51122203,7.71953251,,
CD_229_V3,173,25.36619392,8.993779582,,
CD_230_V1,215,68.50650943,39.03977404,,
CD_230_V3,279,63.30670973,35.79117916,,
CD_237_V1,355,101.719704,48.64170509,,
CD_237_V3,324,95.98034791,46.32830274,,
CD_239_V1,200,74.11304353,47.63552331,,
CD_239_V3,247,87.18357614,58.04867521,,
CD_241_V1,214,48.97522298,17.38788391,,
CD_241_V3,250,92.71007352,62.71640488,,
CD_247_V1,106,20.09903823,7.592324799,,
CD_247_V3,76,6.45623796,2.958760731,,
CD_249_V1,270,55.33448942,21.79162483,,
CD_249_V3,269,61.01887739,28.80514253,,
CD_251_V1,115,18.80871621,9.134896748,,
CD_251_V3,100,15.36210438,8.41553146,,
CD_256_V1,369,119.1322401,60.52889274,,
CD_273_V1,72,12.00692078,6.015393882,,
CD_278_V1,125,20.78693545,7.392462381,,
CD_278_V3,131,28.8022672,9.176430462,,
CD_280_V1,160,24.76040192,9.737195414,,
CD_280_V3,152,30.63725467,13.001228,,
CD_293_V1,49,14.90257444,9.15187915,,
CD_293_V3,49,15.5458474,10.20398429,,
CD_295_V1,159,45.38392381,17.99590005,,
CD_295_V3,178,44.63412511,18.85487464,,
CD_324_V1,114,30.6494537,15.54228182,,
CD_324_V3,106,33.48076308,18.8797363,,
CD_336_V1,157,31.71502136,11.00490789,,
CD_336_V3,116,13.79692845,5.275555524,,
CD_342_V1,98,17.84153623,7.130964573,,
CD_347_V1,110,20.68944216,8.18864894,,
CD_347_V3,103,24.08818806,12.10690805,,
CD_353_V1,71,11.91813166,3.68814491,,
CD_353_V3,158,22.19966129,7.541517615,,
CD_359_V1,129,22.98970378,8.913671991,,
CD_359_V3,61,4.891641735,2.865201518,,
CD_363_V1,117,43.89648814,24.11299533,,
CD_363_V3,84,29.10480936,12.3647668,,
CD_365_V1,76,17.16365304,8.085361379,,
CD_365_V3,74,15.54530413,8.283995152,,
CD_368_V1,66,32.688395,21.53026448,,
CD_368_V3,88,22.50241643,10.42575864,,
CD_371_V1,123,28.29613086,10.6738889,,
CD_371_V3,98,37.70423862,19.415308,,
CD_375_V1,146,37.63319539,14.54229833,,
CD_375_V3,154,29.08319524,9.704017488,,
CD_377_V1,77,25.95547695,16.03062568,,
CD_377_V3,102,28.42059459,14.59260151,,
CD_379_V1,174,44.58112238,13.38607377,,
CD_379_V3,181,52.13380564,18.34928018,,
CD_380_V1,44,12.96899019,7.628985649,,
CD_380_V3,66,13.36259806,7.102214961,,
CD_404_V1,126,21.84185437,9.696217099,,
CD_404_V3,97,19.87681496,10.04853643,,
Control_extraction,1,1,1,,
Mock,7,5.739633002,4.980144306,,
