idx,A,S,E,O,R,T
109,adult,M,uni,emp,big,car
110,adult,F,high,emp,big,car
111,adult,F,high,emp,big,other
112,young,M,high,emp,big,car
113,old,M,uni,emp,big,car
114,adult,M,uni,emp,small,car
115,adult,F,high,emp,big,car
116,young,M,high,emp,big,car
117,young,M,high,emp,small,train
118,adult,M,high,emp,small,car
119,adult,M,high,emp,small,train
120,adult,F,high,emp,big,train
121,young,M,high,emp,big,other
122,old,F,high,emp,small,other
123,old,M,high,emp,big,car
124,young,M,uni,emp,big,other
125,adult,M,high,emp,big,other
126,young,F,high,emp,big,car
127,adult,M,high,emp,big,car
128,adult,F,uni,emp,big,car
129,adult,M,high,emp,small,train
130,old,F,uni,emp,big,car
131,adult,M,high,emp,small,other
132,adult,M,high,emp,big,other
133,old,M,uni,emp,small,car
134,young,F,uni,emp,big,car
135,old,F,high,emp,small,train
136,adult,M,high,emp,small,train
137,adult,F,high,emp,big,car
138,adult,F,high,emp,big,car
139,young,M,high,emp,small,car
140,adult,F,high,emp,big,car
141,adult,F,uni,emp,big,other
142,young,M,high,emp,big,car
143,adult,M,uni,emp,big,other
144,young,F,uni,emp,big,other
145,old,F,high,emp,big,train
146,old,M,high,self,big,car
147,adult,M,high,emp,big,car
148,old,M,high,emp,big,train
149,adult,M,high,emp,big,car
150,old,M,high,emp,big,train
151,young,M,high,emp,small,train
152,adult,M,high,emp,big,car
153,young,M,high,emp,big,car
154,young,F,high,emp,big,other
155,young,F,high,emp,big,car
156,adult,F,high,emp,small,train
157,adult,F,high,emp,big,car
158,old,M,high,emp,big,car
159,young,F,uni,emp,small,car
160,young,M,high,emp,big,train
161,adult,F,high,emp,big,car
162,adult,F,high,emp,big,train
163,young,F,uni,emp,big,train
164,young,M,uni,emp,big,car
165,young,M,high,emp,big,car
166,young,M,high,emp,small,train
167,adult,M,high,emp,big,other
168,adult,M,uni,emp,small,car
169,adult,F,high,emp,big,other
170,young,F,high,emp,big,train
171,young,F,high,emp,small,car
172,young,M,uni,emp,small,train
173,adult,F,high,emp,big,train
174,young,M,high,emp,small,car
175,young,M,high,emp,big,car
176,adult,M,high,emp,small,car
177,adult,M,uni,emp,big,train
178,old,M,high,self,big,train
179,adult,M,high,emp,big,car
180,young,M,high,emp,big,car
181,young,M,high,emp,small,car
182,young,M,high,emp,small,car
183,young,M,high,emp,big,other
184,adult,M,high,emp,big,car
185,young,F,uni,emp,big,other
186,old,F,high,self,small,other
187,adult,M,high,emp,big,train
188,young,M,high,emp,big,other
189,young,F,uni,emp,big,train
190,adult,M,high,self,big,car
191,adult,M,high,emp,big,train
192,adult,M,high,emp,small,car
193,old,M,high,emp,big,train
194,adult,M,uni,emp,big,train
195,adult,F,uni,emp,big,car
196,adult,M,high,emp,big,car
197,young,M,uni,emp,big,train
198,adult,M,uni,emp,small,train
199,young,M,uni,emp,big,train
200,old,M,uni,emp,big,car
201,old,F,high,emp,big,train
202,young,M,high,emp,big,car
203,adult,M,high,emp,big,car
204,adult,M,high,emp,big,car
205,adult,F,high,self,big,car
206,old,M,high,emp,big,train
207,old,M,high,emp,big,car
208,adult,M,uni,emp,big,train
209,adult,M,high,emp,small,other
210,young,M,high,emp,small,train
211,adult,M,uni,emp,small,train
212,adult,M,high,emp,big,car
213,old,F,high,emp,small,car
214,young,F,high,emp,big,car
215,adult,M,uni,emp,big,car
216,adult,F,high,emp,big,train
217,adult,M,high,emp,big,other
218,old,F,high,emp,big,train
219,young,F,high,emp,big,train
220,adult,F,high,emp,small,other
221,adult,F,uni,emp,big,train
222,young,M,high,emp,big,other
223,old,M,high,emp,small,other
224,young,M,uni,emp,big,other
225,young,F,high,emp,big,train
226,adult,F,high,emp,small,other
227,young,F,uni,emp,small,train
228,adult,F,high,emp,big,car
229,old,F,high,emp,big,car
230,young,M,high,emp,big,car
231,old,F,high,emp,big,other
232,young,F,uni,emp,big,car
233,old,M,high,self,big,car
234,old,M,high,emp,big,car
235,old,F,high,emp,small,train
236,adult,M,uni,emp,small,car
237,old,M,high,emp,big,car
238,old,F,high,emp,big,car
239,adult,M,high,emp,big,car
240,adult,M,high,emp,big,car
241,old,M,high,emp,big,car
242,adult,M,uni,emp,big,car
243,adult,F,high,emp,big,train
244,old,F,uni,emp,big,train
245,young,F,uni,emp,big,train
246,young,F,uni,emp,big,car
247,adult,M,high,emp,big,train
248,adult,M,high,emp,small,train
249,old,F,high,emp,big,other
250,adult,F,high,emp,big,car
251,adult,M,high,emp,big,train
252,adult,M,high,self,big,train
253,adult,M,high,emp,big,car
254,adult,M,uni,emp,small,car
255,young,M,high,emp,big,car
256,young,F,high,emp,big,car
257,young,M,uni,emp,big,car
258,young,M,high,emp,big,car
259,old,M,high,emp,big,train
260,old,M,high,emp,big,other
261,adult,M,uni,self,big,car
262,adult,F,high,emp,big,car
263,adult,M,high,emp,big,car
264,young,F,uni,emp,small,car
265,adult,F,high,emp,big,car
266,adult,F,high,self,big,car
267,young,F,uni,emp,big,car
268,adult,M,high,emp,big,car
269,young,M,high,emp,big,other
270,adult,M,high,emp,small,other
271,old,M,high,emp,big,car
272,old,M,high,emp,big,train
273,young,M,uni,emp,big,other
274,adult,F,high,emp,small,other
275,young,M,high,emp,big,train
276,adult,F,high,emp,big,car
277,young,M,uni,emp,big,train
278,adult,F,uni,emp,big,train
279,adult,F,uni,emp,small,train
280,young,F,high,emp,big,other
281,old,F,high,emp,big,car
282,young,M,high,emp,small,train
283,young,F,high,emp,big,car
284,young,F,high,emp,big,car
285,adult,M,high,emp,big,car
286,old,F,high,emp,small,car
287,adult,F,high,emp,big,train
288,adult,M,high,emp,big,car
289,old,F,high,emp,small,car
290,adult,F,high,emp,big,car
291,adult,M,high,emp,big,car
292,adult,M,uni,emp,big,car
293,young,F,uni,emp,big,car
294,young,F,high,emp,big,car
295,adult,M,high,emp,big,car
296,young,M,high,emp,small,car
297,young,F,high,emp,big,car
298,old,M,high,emp,small,car
299,young,M,uni,emp,big,car
300,old,F,high,emp,small,car
301,old,M,uni,emp,big,car
302,young,M,high,emp,big,car
303,adult,F,uni,emp,big,car
304,young,M,high,emp,small,car
305,young,F,high,emp,big,car
306,young,M,high,emp,big,car
307,adult,M,high,emp,big,train
308,adult,M,high,emp,big,train
309,adult,F,high,emp,big,car
310,adult,F,uni,self,small,train
311,adult,M,high,emp,big,other
312,adult,M,uni,emp,big,car
313,young,F,uni,emp,big,car
314,adult,F,uni,emp,big,car
315,adult,M,uni,emp,big,train
316,adult,F,uni,emp,big,train
317,adult,M,high,emp,big,car
318,old,M,high,emp,big,car
319,young,M,high,emp,big,car
320,young,M,high,emp,big,car
321,adult,F,high,emp,small,car
322,adult,F,uni,emp,big,car
323,old,F,uni,emp,big,car
324,adult,F,uni,emp,big,other
325,adult,M,high,emp,big,car
326,old,F,high,emp,small,train
327,old,M,high,emp,small,train
328,young,F,high,emp,big,car
329,young,F,uni,emp,big,car
330,young,M,high,emp,big,train
331,adult,M,high,emp,big,other
332,adult,M,high,emp,big,car
333,adult,F,high,emp,big,car
334,adult,M,high,emp,big,car
335,young,M,high,emp,small,car
336,adult,M,high,emp,big,other
337,adult,M,uni,emp,big,car
338,old,F,high,emp,big,car
339,adult,M,uni,emp,small,train
340,adult,F,high,emp,big,other
341,adult,M,high,emp,small,car
342,adult,F,high,emp,small,train
343,young,M,high,emp,big,train
344,young,F,high,emp,small,car
345,adult,F,uni,emp,big,car
346,adult,M,uni,emp,small,car
347,adult,M,high,emp,small,train
348,adult,F,high,self,big,car
349,adult,F,uni,emp,big,car
350,young,M,high,emp,big,car
351,adult,M,high,emp,big,train
352,adult,M,uni,emp,big,car
353,young,F,high,emp,small,car
354,adult,M,high,emp,big,train
355,adult,F,high,emp,big,car
356,adult,M,uni,emp,big,car
357,young,M,high,emp,big,train
358,adult,F,high,emp,small,other
359,adult,M,uni,emp,small,other
360,adult,M,high,emp,small,train
361,adult,M,high,emp,big,train
362,adult,F,high,emp,big,car
363,young,F,uni,emp,big,car
364,young,F,high,emp,small,car
365,old,M,high,emp,big,car
366,adult,F,high,emp,small,other
367,old,M,high,emp,big,car
368,adult,M,high,emp,small,car
369,adult,M,high,emp,small,other
370,old,M,high,emp,small,train
371,adult,F,high,emp,big,car
372,adult,F,high,emp,big,train
373,young,M,uni,emp,big,car
374,young,F,high,emp,big,car
375,young,M,high,emp,big,car
376,adult,M,high,emp,small,car
377,young,M,high,emp,small,train
378,old,M,high,emp,big,car
379,adult,M,high,emp,small,train
380,adult,M,uni,emp,big,car
381,adult,M,high,emp,big,car
382,adult,F,high,emp,big,car
383,old,M,high,emp,small,train
384,adult,M,high,emp,big,other
385,adult,M,uni,emp,small,other
386,young,M,high,emp,big,car
387,young,M,uni,emp,big,train
388,adult,M,uni,emp,big,car
389,adult,M,high,emp,big,car
390,adult,M,high,emp,small,car
391,old,M,high,emp,big,car
392,young,M,high,emp,small,car
393,young,F,high,emp,big,train
394,old,M,uni,emp,big,car
395,old,M,high,emp,small,car
396,young,M,high,emp,big,train
397,adult,M,uni,emp,small,car
398,adult,M,high,emp,big,train
399,adult,M,high,self,big,car
400,old,M,high,emp,small,car
401,young,M,uni,emp,small,car
402,young,M,high,emp,big,car
403,adult,F,high,emp,big,car
404,adult,F,uni,self,small,car
405,young,M,high,emp,big,car
406,adult,M,high,self,big,car
407,young,M,high,emp,big,other
408,adult,M,uni,emp,big,other
409,adult,M,high,emp,small,car
410,young,F,high,emp,big,train
411,young,F,high,emp,small,car
412,young,M,high,emp,big,car
413,adult,M,uni,emp,big,train
414,adult,M,high,emp,big,car
415,old,M,high,emp,big,car
416,old,M,high,emp,small,car
417,adult,M,high,emp,big,other
418,young,F,uni,self,big,car
419,adult,M,uni,emp,big,other
420,young,M,high,emp,small,train
421,adult,M,high,emp,big,other
422,young,M,high,emp,small,car
423,adult,F,high,emp,small,car
424,young,F,uni,self,big,car
425,old,M,uni,emp,big,car
426,old,F,high,emp,small,car
427,young,M,uni,emp,big,car
428,adult,M,high,emp,big,train
429,old,F,high,emp,big,car
430,young,F,uni,emp,big,car
431,old,F,high,emp,big,other
432,adult,M,high,emp,big,car
433,adult,M,uni,emp,big,train
434,adult,M,uni,emp,small,train
435,adult,F,high,emp,small,car
436,young,M,high,emp,big,car
437,young,M,high,emp,big,car
438,adult,M,uni,emp,small,train
439,young,M,high,emp,big,other
440,adult,M,uni,emp,small,car
441,young,F,high,self,big,car
442,old,M,high,emp,big,train
443,old,F,high,emp,big,car
444,adult,M,high,emp,big,car
445,young,M,high,emp,big,car
446,adult,F,uni,emp,big,car
447,old,F,high,emp,small,train
448,young,M,high,emp,small,train
449,old,F,high,emp,small,car
450,adult,F,high,emp,big,car
451,adult,F,high,emp,big,train
452,adult,F,high,emp,big,other
453,adult,M,uni,emp,small,train
454,old,F,high,emp,big,other
455,adult,M,high,emp,big,other
456,adult,F,uni,emp,big,other
457,young,M,uni,emp,small,train
458,young,F,uni,emp,small,train
459,adult,M,high,emp,big,train
460,young,M,uni,self,big,other
461,adult,M,high,emp,small,train
462,old,F,high,emp,big,car
463,adult,M,high,emp,big,car
464,old,M,high,emp,small,car
465,old,M,high,emp,big,train
466,adult,F,uni,emp,big,car
467,adult,F,high,self,big,train
468,old,F,high,emp,big,train
469,adult,M,uni,self,big,other
470,young,M,high,emp,big,car
471,adult,M,high,emp,big,other
472,young,M,high,emp,big,car
473,old,F,high,emp,small,car
474,adult,M,high,emp,small,train
475,adult,F,uni,emp,small,train
476,young,F,high,emp,big,car
477,old,M,high,emp,small,train
478,adult,M,high,emp,big,train
479,adult,F,high,emp,big,car
480,adult,F,high,emp,small,car
481,young,F,uni,emp,big,train
482,adult,M,uni,emp,big,other
483,adult,F,high,emp,big,car
484,adult,M,high,emp,big,other
485,young,F,high,emp,big,car
486,young,M,high,emp,big,car
487,adult,F,high,emp,small,train
488,young,M,uni,emp,small,train
489,adult,F,high,emp,big,train
490,adult,M,high,emp,small,car
491,old,F,high,emp,big,train
492,young,F,high,emp,big,car
493,young,F,high,emp,big,other
494,adult,M,high,self,big,car
495,adult,M,uni,emp,big,car
496,young,M,high,emp,big,train
497,young,M,uni,self,big,car
498,adult,M,high,emp,small,train
499,old,M,high,emp,small,car
500,old,F,high,self,big,car
501,adult,M,high,emp,small,car
502,adult,M,uni,emp,big,car
503,adult,F,high,emp,big,car
504,young,M,high,emp,big,other
505,adult,F,uni,emp,big,car
506,young,M,high,emp,big,car
507,adult,F,high,emp,big,car
508,young,M,uni,emp,small,other
509,adult,F,uni,emp,small,car
510,old,M,high,emp,big,car
511,adult,M,high,emp,small,train
512,adult,F,high,emp,big,car
513,young,M,uni,emp,small,car
514,adult,M,high,emp,big,car
515,adult,M,high,emp,big,car
516,adult,F,high,self,small,car
517,adult,F,uni,emp,big,car
518,adult,M,high,emp,big,train
519,adult,M,high,emp,big,train
520,young,M,high,emp,big,car
521,young,F,high,emp,small,train
522,adult,F,high,emp,big,other
523,adult,M,high,emp,small,car
524,young,F,uni,emp,big,train
525,old,M,high,emp,small,train
526,old,M,high,emp,small,car
527,young,M,high,emp,small,train
528,adult,F,high,emp,big,car
529,adult,F,uni,self,small,car
530,adult,M,high,emp,big,car
531,adult,M,uni,emp,small,train
532,adult,F,high,emp,small,other
533,old,M,high,emp,big,car
534,young,M,high,emp,big,train
535,young,M,high,emp,small,train
536,adult,M,high,emp,small,train
537,old,F,high,emp,big,car
538,adult,M,uni,emp,big,car
539,adult,M,high,emp,big,car
540,adult,F,high,emp,big,car
541,old,M,high,emp,big,car
542,adult,F,high,emp,big,other
543,adult,F,high,emp,big,car
544,young,F,high,emp,big,other
545,adult,F,high,emp,big,train
546,young,M,high,emp,big,other
547,old,M,high,self,big,other
548,young,F,high,emp,big,other
549,adult,M,uni,emp,big,car
550,young,F,high,emp,small,car
551,old,F,high,emp,big,car
552,adult,F,high,emp,big,car
553,young,M,high,emp,small,train
554,old,M,high,emp,big,car
555,old,M,high,emp,small,car
556,young,M,uni,emp,big,car
557,adult,M,high,self,big,car
558,old,M,high,emp,small,train
559,young,M,high,emp,big,other
560,young,F,high,emp,big,train
561,adult,F,uni,emp,big,train
562,young,F,high,emp,small,other
563,adult,M,uni,emp,big,other
564,young,M,high,emp,big,car
565,young,M,uni,emp,big,car
566,adult,F,high,emp,big,car
567,old,M,high,emp,big,car
568,adult,F,uni,emp,small,train
569,young,F,high,emp,big,car
570,adult,F,uni,emp,big,car
571,adult,F,high,emp,big,car
572,young,F,high,emp,big,car
573,young,M,high,emp,big,car
574,adult,F,high,emp,small,car
575,young,M,high,emp,big,car
576,old,M,high,emp,big,train
577,adult,M,high,emp,small,train
578,adult,M,high,emp,small,car
579,adult,F,high,emp,big,other
580,adult,M,high,emp,big,car
581,old,M,high,self,big,car
582,old,M,high,emp,big,train
583,adult,M,high,emp,small,car
584,adult,M,high,emp,big,car
585,old,F,high,emp,big,other
586,adult,F,uni,emp,small,car
587,adult,M,high,emp,big,car
588,adult,M,uni,emp,small,train
589,adult,F,high,emp,big,train
590,young,F,high,emp,big,car
591,adult,M,high,emp,big,car
592,adult,F,high,emp,big,train
593,adult,M,high,emp,big,car
594,old,F,high,emp,small,train
595,adult,M,high,emp,big,car
596,adult,M,high,emp,small,car
597,adult,F,high,emp,big,car
598,adult,M,high,emp,big,train
599,adult,F,high,self,big,other
600,adult,M,uni,emp,big,car
601,young,F,high,emp,big,car
602,young,M,high,emp,small,car
603,adult,F,high,emp,big,car
604,old,M,high,emp,big,other
605,adult,M,high,emp,small,car
606,adult,M,high,emp,big,car
607,adult,F,high,emp,small,train
608,adult,F,uni,emp,big,car
609,adult,M,uni,emp,big,car
610,old,M,high,emp,small,other
611,old,F,high,emp,big,train
612,old,M,uni,emp,small,car
613,adult,M,high,emp,big,train
614,adult,F,high,emp,small,car
615,adult,M,high,emp,big,car
616,young,M,high,emp,big,car
617,old,F,high,emp,big,train
618,young,F,uni,self,big,car
619,adult,M,high,emp,small,other
620,old,M,high,emp,big,car
621,adult,F,high,emp,big,other
622,young,F,high,emp,big,train
623,young,F,uni,emp,big,car
624,adult,F,uni,self,small,car
625,adult,F,uni,emp,big,train
626,old,M,high,emp,big,other
627,old,M,high,emp,big,car
628,adult,M,uni,emp,big,car
629,young,M,high,emp,big,train
630,adult,M,high,emp,big,other
631,young,M,uni,emp,big,other
632,old,F,high,emp,big,car
633,old,F,high,emp,big,train
634,adult,F,high,emp,small,car
635,adult,F,high,self,small,train
636,old,F,high,emp,big,car
637,adult,M,high,emp,big,car
638,adult,M,high,emp,big,car
639,adult,F,high,emp,big,car
640,adult,F,uni,self,big,car
641,adult,F,uni,emp,big,train
642,old,F,high,emp,small,car
643,adult,M,high,emp,big,other
644,adult,M,high,emp,big,car
645,young,M,uni,emp,big,other
646,adult,F,high,emp,big,other
647,adult,M,high,emp,big,car
648,young,F,high,emp,big,car
649,young,F,high,emp,big,other
650,young,M,high,emp,big,car
651,adult,F,uni,emp,big,car
652,adult,F,uni,emp,big,car
653,young,F,high,emp,big,train
654,adult,F,high,emp,small,car
655,old,M,high,emp,small,car
656,old,F,high,emp,big,train
657,young,M,high,self,big,train
658,adult,M,uni,emp,big,car
659,adult,F,uni,emp,big,car
660,adult,M,high,emp,small,train
661,adult,F,high,emp,big,car
662,old,F,high,emp,small,train
663,adult,F,high,emp,big,car
664,adult,F,high,emp,big,car
665,young,M,uni,emp,big,car
666,old,M,uni,emp,big,train
667,adult,M,high,emp,big,car
668,adult,M,high,emp,small,train
669,young,F,uni,emp,big,car
670,adult,M,uni,emp,big,car
671,adult,F,high,emp,big,train
672,young,M,uni,emp,big,train
673,adult,M,high,emp,small,train
674,adult,F,high,emp,big,car
675,young,M,uni,emp,big,car
676,adult,F,uni,emp,small,train
677,adult,M,high,emp,big,car
678,adult,F,high,emp,big,train
679,young,M,high,emp,small,car
680,old,M,high,emp,big,train
681,adult,F,high,emp,small,car
682,adult,M,high,emp,big,train
683,young,F,high,emp,big,car
684,old,M,high,self,big,car
685,young,M,uni,emp,big,other
686,young,F,high,emp,big,car
687,young,F,high,emp,big,car
688,old,M,high,emp,small,car
689,old,M,high,emp,big,car
690,old,F,high,emp,big,train
691,old,F,high,emp,big,car
692,adult,M,high,emp,small,car
693,adult,M,high,emp,big,car
694,adult,M,uni,self,small,car
695,adult,M,high,emp,big,train
696,adult,F,high,emp,small,train
697,old,M,high,emp,big,car
698,adult,M,high,emp,small,car
699,old,M,high,self,big,train
700,adult,F,high,emp,small,car
701,adult,M,high,emp,small,car
702,old,M,high,emp,big,car
703,adult,F,high,emp,big,car
704,young,F,high,emp,big,car
705,old,M,high,emp,big,car
706,adult,M,uni,emp,big,other
707,adult,F,high,emp,big,car
708,young,F,high,emp,small,train
709,old,M,high,emp,small,car
710,old,F,high,emp,big,train
711,old,M,uni,emp,big,car
712,young,F,high,emp,big,train
713,adult,M,high,emp,big,other
714,old,M,high,emp,small,train
715,adult,F,uni,emp,big,car
716,adult,M,high,emp,big,car
717,old,F,high,emp,big,car
718,adult,F,high,emp,big,other
719,adult,M,high,emp,small,train
720,adult,F,high,self,big,car
721,adult,F,uni,emp,small,car
722,old,F,high,emp,big,car
723,adult,M,high,emp,big,train
724,old,M,high,emp,big,car
725,young,M,uni,emp,big,train
726,adult,F,uni,emp,big,other
727,young,M,high,emp,big,train
728,old,M,high,emp,big,car
729,adult,F,uni,emp,big,car
730,adult,M,high,emp,big,other
731,old,F,high,emp,big,car
732,adult,M,high,emp,small,other
733,adult,M,high,emp,small,train
734,old,M,high,emp,small,car
735,adult,F,uni,self,big,train
736,young,F,uni,emp,big,car
737,adult,M,high,emp,small,car
738,old,F,high,emp,big,car
739,old,M,uni,emp,big,car
740,adult,M,uni,emp,small,train
741,old,M,high,emp,small,car
742,old,M,high,emp,big,train
743,adult,F,uni,emp,big,other
744,young,M,high,emp,small,train
745,adult,M,high,emp,big,other
746,young,M,high,emp,big,car
747,adult,M,high,emp,big,car
748,old,F,high,emp,big,train
749,adult,M,high,emp,big,other
750,old,M,high,emp,small,train
751,young,F,high,emp,big,car
752,young,M,high,emp,small,train
753,old,M,high,emp,big,car
754,adult,M,uni,emp,big,car
755,adult,M,high,emp,small,train
756,adult,M,high,emp,big,car
757,adult,M,high,emp,small,car
758,young,M,uni,emp,big,car
759,adult,F,high,emp,big,train
760,adult,M,high,emp,big,other
761,adult,M,high,emp,big,train
762,adult,F,high,emp,small,train
763,adult,F,high,emp,big,car
764,young,M,high,emp,big,car
765,young,M,uni,emp,big,car
766,adult,M,high,emp,big,car
767,adult,M,high,emp,big,car
768,adult,M,high,emp,big,train
769,old,M,high,self,big,train
770,adult,M,high,emp,big,car
771,young,M,high,emp,big,car
772,young,M,high,emp,small,train
773,young,F,high,emp,big,train
774,old,F,high,emp,small,train
775,young,M,high,emp,big,other
776,young,M,uni,emp,big,train
777,young,F,uni,emp,big,car
778,adult,F,high,emp,big,train
779,adult,M,uni,emp,big,car
780,old,F,high,emp,big,other
781,young,M,uni,emp,big,car
782,adult,F,high,self,big,other
783,adult,F,high,emp,small,train
784,young,F,high,emp,big,car
785,adult,F,high,emp,big,car
786,old,M,high,emp,big,car
787,adult,M,high,emp,big,train
788,adult,M,high,emp,small,car
789,adult,F,high,emp,big,other
790,adult,M,high,emp,big,car
791,young,M,uni,emp,small,car
792,old,F,high,emp,big,other
793,adult,M,high,emp,big,other
794,young,M,high,emp,big,car
795,young,M,high,emp,small,train
796,adult,M,high,emp,small,car
797,young,M,uni,emp,big,other
798,young,M,high,emp,small,train
799,young,F,high,emp,small,car
800,young,F,high,emp,big,train
801,young,F,high,emp,big,train
802,young,F,high,emp,big,train
803,adult,F,high,emp,big,car
804,adult,F,uni,self,big,car
805,adult,F,uni,emp,big,car
806,adult,F,uni,emp,small,train
807,adult,M,high,emp,big,train
808,old,F,high,emp,big,car
809,young,F,uni,emp,big,car
810,adult,M,high,emp,big,train
811,adult,F,high,emp,big,car
812,adult,F,high,emp,big,train
813,old,M,high,emp,big,car
814,young,M,high,emp,big,train
815,young,M,high,emp,big,car
816,old,M,high,emp,small,car
817,young,F,high,emp,big,car
818,adult,M,high,emp,big,other
819,adult,M,high,emp,big,car
820,adult,F,high,emp,small,train
821,old,M,high,emp,big,other
822,old,M,high,self,big,car
823,old,F,high,emp,big,car
824,adult,F,high,emp,small,car
825,adult,M,high,emp,big,other
826,young,M,uni,emp,big,other
827,old,M,high,emp,big,car
828,old,F,high,emp,big,car
829,young,F,high,emp,big,car
830,young,F,high,emp,big,train
831,young,F,high,emp,big,car
832,adult,F,high,emp,big,other
833,young,M,high,emp,big,car
834,young,F,uni,emp,big,car
835,adult,F,high,emp,small,train
836,adult,M,uni,emp,big,car
837,old,M,high,emp,big,train
838,adult,F,high,emp,small,train
839,young,M,uni,emp,big,train
840,young,M,high,emp,small,other
841,adult,M,high,emp,small,train
842,adult,F,uni,emp,big,other
843,adult,M,uni,emp,big,train
844,adult,M,high,emp,big,train
845,adult,F,high,emp,big,train
846,old,M,high,emp,big,car
847,old,F,high,emp,small,other
848,adult,F,high,self,big,car
849,old,F,uni,emp,big,car
850,adult,M,high,emp,big,train
851,young,M,high,emp,small,train
852,old,M,high,emp,big,car
853,young,F,high,self,big,train
854,adult,M,high,emp,big,car
855,old,F,high,emp,small,train
856,adult,F,uni,emp,big,train
857,adult,M,high,emp,big,train
858,adult,M,uni,self,big,car
859,young,M,high,emp,big,car
860,young,M,uni,emp,big,car
861,young,M,high,emp,big,train
862,adult,F,high,emp,big,car
863,old,M,high,emp,big,train
864,old,M,high,emp,big,other
865,adult,F,uni,emp,big,other
866,adult,M,high,emp,big,car
867,old,M,high,emp,big,car
868,adult,M,uni,emp,big,train
869,adult,M,high,emp,small,train
870,young,M,high,emp,big,other
871,young,F,high,emp,small,train
872,young,M,uni,emp,small,car
873,young,M,high,emp,big,car
874,young,M,high,emp,big,car
875,old,M,high,emp,big,other
876,adult,M,high,emp,big,other
877,adult,M,high,emp,big,car
878,young,F,uni,emp,big,train
879,young,F,high,emp,big,train
880,adult,F,high,emp,big,train
881,young,M,uni,emp,big,other
882,adult,F,high,emp,small,car
883,young,F,high,emp,big,car
884,young,M,high,emp,small,other
885,adult,M,high,emp,small,train
886,young,F,uni,emp,big,car
887,adult,F,uni,emp,small,train
888,old,M,high,emp,small,car
889,old,M,uni,emp,big,car
